time,verified,comments,retweets,likes,followers
660,0,40,673,3000,18000
1440,0,29,920,2000,18000
1440,0,29,930,2000,18000
2880,0,22,6000,27000,18000
8640,0,2,411,1000,18000
3,1,21,22,114,18000
15,1,1,53,147,18000
120,1,1,132,357,18000
120,1,5,194,415,18000
240,1,15,101,238,18000
60,0,163,540,535,19000
120,0,2,228,417,19000
240,0,9,67,425,19000
480,0,1,328,843,19000
1,1,3,9,40,19000
2880,1,10,134,890,19000
5760,1,127,957,4000,19000
10,0,8,51,127,20000
120,0,104,1000,2000,20000
120,0,117,1000,2000,20000
2880,0,842,33000,105000,20000
2880,0,841,33000,106000,20000
4320,0,35,2000,11000,20000
26,1,4,42,166,20000
31,1,4,74,125,20000
540,1,16,149,886,20000
600,1,35,119,75,20000
1440,1,3,65,337,20000
1440,1,3,67,348,20000
2880,1,4,70,380,20000
3,0,898,661,344,21000
420,0,44,349,1000,21000
1440,0,14,637,1000,21000
10080,0,2,258,690,21000
53,1,6,51,215,21000
5760,1,67,1000,1000,21000
10080,0,20,610,5000,22000
120,1,53,6,154,22000
1380,1,215,474,4000,22000
180,0,19,750,5000,23000
300,0,22,1000,8000,23000
2,1,3,10,57,23000
15,1,1,13,32,23000
17,1,2,10,106,23000
240,1,67,353,2000,23000
17,0,1,48,98,24000
59,0,3,35,126,24000
60,0,3,40,76,24000
300,0,9,683,1000,24000
300,0,9,686,1000,24000
120,1,14,135,723,24000
120,1,16,164,892,24000
1140,1,48,2000,6000,24000
2880,1,6,102,180,24000
120,0,1,40,300,25000
660,0,54,2000,6000,25000
720,0,54,2000,6000,25000
1440,0,29,340,893,25000
4320,0,37,484,1000,25000
4320,0,37,489,1000,25000
2880,1,78,38,553,25000
120,0,6,74,58,26000
21,1,7,30,197,26000
5760,1,153,36,534,26000
120,0,35,114,520,27000
8,1,5,27,169,27000
58,1,14,91,507,27000
60,1,15,105,574,27000
4,0,7,13,40,28000
60,1,47,149,465,28000
120,1,64,8,67,28000
120,1,121,786,2000,28000
1260,1,148,2000,3000,28000
420,0,17,843,1000,29000
480,0,17,862,1000,29000
60,1,84,68,451,29000
1440,1,6,116,146,29000
1,0,157,169,231,30000
180,0,99,139,609,30000
960,0,425,852,778,30000
2880,0,269,1000,2000,30000
2880,1,22,182,824,30000
5760,1,1,15,47,30000
240,0,1,113,715,31000
1,1,1,9,34,31000
33,1,23,95,345,31000
46,1,24,116,430,31000
47,1,24,118,443,31000
120,1,5,72,250,31000
240,1,20,77,450,31000
1200,1,6,80,583,31000
120,0,77,79,716,32000
2880,0,12,247,778,32000
2,1,0,0,0,32000
7,1,4,44,129,32000
11,1,12,84,314,32000
60,1,109,58,36,32000
120,1,204,102,74,32000
480,1,401,2000,10000,32000
3,0,55,65,230,33000
20,1,4,14,41,33000
60,1,29,525,904,33000
120,1,2,16,55,33000
180,1,166,937,5000,34000
2880,0,574,367,1000,35000
180,1,15,162,941,35000
15,0,14,24,110,36000
120,0,33,395,790,36000
180,0,19,152,628,36000
60,1,32,200,743,36000
120,1,42,311,1000,36000
2880,1,323,252,2000,36000
4320,1,3,28,63,36000
5760,0,48,1000,4000,37000
5,1,5,12,43,37000
40,1,4,13,122,37000
60,1,20,291,2000,37000
180,1,8,12,373,37000
180,1,43,721,2000,37000
360,1,27,161,179,37000
2880,1,15,177,386,37000
60,0,19,233,1000,38000
41,1,6,171,459,38000
7200,1,38,1000,5000,38000
120,0,3,74,78,39000
4,1,6,17,94,39000
60,1,3,19,142,39000
1440,0,1000,8000,37000,40000
1440,1,54,431,764,40000
120,0,55,595,2000,42000
180,0,56,644,2000,42000
1200,0,1000,532,3000,42000
12,1,18,63,665,42000
14,1,14,4,70,42000
240,1,5,100,254,42000
1200,1,27,499,2000,42000
2880,1,95,965,8000,42000
4320,1,99,985,8000,42000
11520,1,43,1000,4000,42000
1,1,14,14,95,43000
3,1,2,40,70,43000
3,1,4,86,331,43000
28,1,38,28,124,43000
28,1,39,28,124,43000
180,1,4,408,925,43000
360,1,1,189,578,43000
1440,0,9,229,363,44000
12,1,19,104,413,45000
120,1,72,150,468,45000
12,0,5,171,765,46000
4,1,24,33,162,46000
120,1,4,88,276,46000
180,1,35,21,226,46000
180,1,35,22,238,46000
2880,1,31,276,623,46000
60,0,53,248,377,47000
120,0,18,35,470,47000
240,0,58,333,2000,47000
360,0,28,614,1000,47000
1,1,0,0,0,47000
8,1,5,19,95,47000
60,1,65,145,827,47000
60,1,13,276,849,47000
120,1,36,245,448,47000
120,1,37,249,458,47000
120,1,4,254,2000,47000
51,1,20,116,732,48000
180,1,75,237,1000,48000
9,0,0,0,0,49000
240,0,45,4000,10000,49000
26,1,13,19,95,49000
60,1,5,33,171,49000
480,1,1,92,155,49000
52,0,6,77,313,50000
300,0,67,541,3000,50000
360,0,69,557,3000,50000
360,0,75,580,4000,50000
720,0,28,2000,3000,50000
2880,0,2,39,154,50000
29,1,11,26,119,50000
32,1,4,42,148,50000
60,1,32,38,55,50000
120,1,3,79,159,50000
120,1,104,277,2000,50000
120,1,110,318,3000,50000
240,1,4,96,197,50000
2880,1,21,279,3000,50000
4320,1,21,285,3000,50000
7200,1,247,452,707,51000
60,0,1,75,116,52000
300,0,85,110,230,52000
3,1,49,18,149,52000
10,1,0,0,0,52000
60,1,5,42,116,52000
120,1,6,23,254,52000
240,1,141,92,556,52000
1200,1,1,100,230,52000
41,1,5,99,678,53000
120,1,0,0,0,53000
120,1,4,20,65,53000
780,1,78,620,966,53000
17,1,3,46,123,54000
31,1,82,763,709,54000
34,1,23,649,2000,54000
42,1,25,680,2000,54000
48,1,36,151,590,54000
120,1,42,1000,4000,54000
2880,1,10,92,204,54000
38,1,4,157,308,55000
60,1,52,198,1000,55000
1200,1,33,53,517,55000
2880,1,18,177,1000,55000
42,0,83,592,834,56000
120,0,152,1000,2000,56000
26,1,4,22,56,56000
120,1,42,81,841,56000
24,1,34,75,356,57000
60,1,0,0,0,57000
60,1,31,25,89,57000
7200,1,154,985,8000,57000
1,1,2,0,0,58000
120,1,5,41,104,58000
600,1,16,62,717,58000
1440,1,61,256,2000,58000
36,0,72,774,2000,59000
43,1,0,0,0,59000
180,1,8,68,249,59000
1140,1,29,165,451,60000
2880,1,16,360,1000,60000
4320,1,74,3000,14000,60000
4,1,3,15,44,61000
32,1,69,77,452,61000
60,1,5,115,243,61000
8640,0,11,3000,15000,62000
180,1,110,298,2000,62000
3,0,16,68,241,63000
15,0,62,238,790,63000
17,1,11,132,212,63000
1020,1,28,160,756,64000
60,0,3,262,423,65000
60,0,3,275,455,65000
120,0,43,84,236,65000
180,0,28,2000,7000,66000
240,0,30,2000,8000,66000
60,1,12,58,106,66000
1440,1,60,795,4000,66000
2880,1,30,192,1000,66000
16,1,2,106,411,67000
19,1,5,132,487,67000
56,1,1,35,81,67000
36,0,7,412,117,68000
60,0,0,0,0,68000
120,0,1,449,507,68000
120,1,3,399,326,68000
5760,1,40,29000,10000,68000
480,1,42,91,367,70000
1440,1,404,216,419,70000
780,1,111,277,2000,71000
34,1,6,22,134,72000
35,1,72,479,1000,72000
49,1,83,557,2000,72000
50,1,6,106,231,72000
1440,1,3,151,635,72000
7200,0,18,835,8000,73000
2880,1,143,397,3000,73000
2880,1,144,405,3000,73000
660,0,128,886,6000,74000
7,1,14,342,509,74000
5760,1,200,2000,13000,74000
14,1,2,34,86,75000
240,1,4,537,1000,75000
49,0,33,76,175,76000
420,1,47,143,816,76000
1080,1,93,238,1000,76000
1080,1,93,240,1000,76000
1440,0,11,286,802,77000
2880,0,333,7000,18000,77000
180,1,337,1000,8000,77000
480,1,20,154,221,77000
120,0,7,351,318,78000
180,0,7,395,392,78000
1,1,13,22,136,78000
52,1,10,24,117,78000
300,1,73,1000,3000,78000
360,1,75,2000,4000,78000
2880,1,34,891,4000,78000
1260,1,416,3000,13000,79000
1320,0,401,476,2000,80000
4320,0,238,82,2000,80000
180,1,17,89,159,80000
180,1,19,177,902,80000
180,1,19,178,906,80000
180,1,19,182,931,80000
